dateTime,timerName,progNo,iActual2,pha2
2019-08-02 14:37:53.310,ub01l2-timer,101,8.47,45.78
2019-08-02 14:42:04.810,ub01l2-timer,101,8.46,45.89
2019-08-02 14:42:46.990,ub01l2-timer,101,8.48,45.96
2019-08-02 14:43:30.390,ub01l2-timer,101,8.49,45.85
2019-08-02 14:46:54.080,ub01l2-timer,101,8.49,43.49
2019-08-02 14:50:30.100,ub01l2-timer,101,8.50,43.11
2019-08-02 14:52:33.750,ub01l2-timer,101,8.55,43.44
2019-08-02 14:58:15.750,ub01l2-timer,101,8.55,44.66
2019-08-02 15:04:52.330,ub01l2-timer,101,8.58,43.81
2019-08-02 16:29:24.670,ub01l2-timer,101,8.58,43.10
2019-08-02 16:34:11.920,ub01l2-timer,101,8.48,43.46
2019-08-02 16:39:20.150,ub01l2-timer,101,8.78,44.05
2019-08-02 16:42:37.110,ub01l2-timer,101,8.55,42.69
2019-08-02 16:44:09.380,ub01l2-timer,101,8.56,43.21
2019-08-02 16:48:14.950,ub01l2-timer,101,8.48,43.71
2019-08-02 16:49:55.060,ub01l2-timer,101,8.49,44.93
2019-08-02 16:51:20.480,ub01l2-timer,101,8.52,45.32
2019-08-02 16:53:31.390,ub01l2-timer,101,8.50,45.04
2019-08-02 16:55:35.120,ub01l2-timer,101,8.54,45.14
2019-08-02 16:57:53.310,ub01l2-timer,101,8.62,45.80
2019-08-02 16:59:42.280,ub01l2-timer,101,8.62,42.90
2019-08-05 09:19:02.280,ub01l2-timer,101,8.54,41.61
2019-08-05 09:19:44.400,ub01l2-timer,101,8.47,41.11
2019-08-05 09:22:32.170,ub01l2-timer,101,8.55,41.84
2019-08-05 09:27:24.640,ub01l2-timer,101,8.47,41.69
2019-08-05 09:31:31.410,ub01l2-timer,101,8.58,41.43
2019-08-05 09:32:13.560,ub01l2-timer,101,8.59,41.69
2019-08-05 09:32:55.870,ub01l2-timer,101,8.80,42.53
2019-08-05 09:33:45.640,ub01l2-timer,101,8.57,41.95
2019-08-05 10:15:49.620,ub01l2-timer,101,8.47,44.33
2019-08-05 10:22:25.320,ub01l2-timer,101,8.44,44.31
2019-08-05 10:23:07.430,ub01l2-timer,101,8.45,44.02
2019-08-05 10:23:49.790,ub01l2-timer,101,8.50,44.11
2019-08-05 10:24:32.240,ub01l2-timer,101,8.51,41.23
2019-08-05 10:25:16.410,ub01l2-timer,101,8.50,43.78
2019-08-05 10:26:02.320,ub01l2-timer,101,8.49,41.42
2019-08-05 10:28:03.420,ub01l2-timer,101,8.49,43.94
2019-08-05 10:29:02.460,ub01l2-timer,101,8.50,43.46
2019-08-05 10:31:28.570,ub01l2-timer,101,8.54,41.14
2019-08-05 10:32:10.620,ub01l2-timer,101,8.49,43.57
2019-08-05 10:43:56.140,ub01l2-timer,101,8.57,41.91
